"planet","name","gm","radius","density","magnitude","albedo","Distance_to_planet (10^6km)","Velocity (km/s)"
"Earth","Moon","4902.801±0.001",1737.5,"3.344±0.005","-12.74","0.12",0.384,0.112994296039667
"Mars","Phobos","0.0007112±0.0000010",11.1,"1.872±0.076","11.4±0.2","0.071±0.012",0.0094,0.000275062855485951
"Mars","Deimos","0.0000985±0.0000024",6.2,"1.471±0.166","12.45±0.05","0.068±0.007",0.0235,6.4741712687433e-05
"Jupiter","Io","5959.916±0.012",1821.6,"3.528±0.006","5.02±0.03","0.63±0.02",0.4217,0.118882592937258
"Jupiter","Europa","3202.739±0.009",1560.8,"3.013±0.005","5.29±0.02","0.67±0.03",0.671,0.0690875057989944
"Jupiter","Ganymede","9887.834±0.017",2631.2,"1.942±0.005","4.61±0.03","0.43±0.02",1.07,0.0961299451531113
"Jupiter","Callisto","7179.289±0.013",2410.3,"1.834±0.004","5.65±0.10","0.17±0.02",1.883,0.0617469567687924
"Jupiter","Amalthea","0.138±0.030",83.45,"0.849±0.199","14.1±0.2","0.090±0.005",0.1814,0.000872209679128845
"Jupiter","Himalia","0.45",85,"2.6","14.2R","0.04",11.46,0.000198159066678278
"Jupiter","Elara","0.058",43,"2.6","16.0R","0.04",11.7,7.04078472704922e-05
"Jupiter","Pasiphae","0.020",30,"2.6","16.8R","0.04",24.18,2.87598654271525e-05
"Jupiter","Sinope","0.0050",19,"2.6","18.2R","0.04",23.2,1.46805054878676e-05
"Jupiter","Lysithea","0.0042",18,"2.6","18.1R","0.04",11.66,1.89790893328406e-05
"Jupiter","Carme","0.0088",23,"2.6","18.1R","0.04",22.79,1.96502994739625e-05
"Jupiter","Ananke","0.0020",14,"2.6","19.1R","0.04",21.3,9.69003166223018e-06
"Jupiter","Leda","0.00073",10,"2.6","19.2R","0.04",11.7,7.89893425679454e-06
"Jupiter","Thebe","0.10",49.3,"3.0","16.0","0.047±0.003",0.223,0.000669649530182425
"Jupiter","Adrastea","0.0005",8.2,"3.0","18.7","0.1±0.045",0.129,6.2257280636469e-05
"Jupiter","Metis","0.008",21.5,"3.0","17.5","0.061±0.003",0.128,0.00025
