"planet","name","gm","radius","density","magnitude","albedo","Distance (10^6km)","Distance (m)","Velocity (m/s)","Velocity (km/s)"
"Earth","Moon","4902.801±0.001",1737.5,"3.344±0.005","-12.74","0.12",0.384,3.84e+08,0.00357319338092693,3.57319338092693e-06
"Mars","Phobos","0.0007112±0.0000010",11.1,"1.872±0.076","11.4±0.2","0.071±0.012",0.0094,9400000,8.69825123045346e-06,8.69825123045346e-09
"Mars","Deimos","0.0000985±0.0000024",6.2,"1.471±0.166","12.45±0.05","0.068±0.007",0.0235,23500000,2.04731271712509e-06,2.04731271712509e-09
"Jupiter","Io","5959.916±0.012",1821.6,"3.528±0.006","5.02±0.03","0.63±0.02",0.4217,421700000,0.00375939767828384,3.75939767828384e-06
"Jupiter","Europa","3202.739±0.009",1560.8,"3.013±0.005","5.29±0.02","0.67±0.03",0.671,6.71e+08,0.00218473876184913,2.18473876184913e-06
"Jupiter","Ganymede","9887.834±0.017",2631.2,"1.942±0.005","4.61±0.03","0.43±0.02",1.07,1.07e+09,0.00303989578030895,3.03989578030895e-06
"Jupiter","Callisto","7179.289±0.013",2410.3,"1.834±0.004","5.65±0.10","0.17±0.02",1.883,1.883e+09,0.00195261021973335,1.95261021973335e-06
"Jupiter","Amalthea","0.138±0.030",83.45,"0.849±0.199","14.1±0.2","0.090±0.005",0.1814,181400000,2.75816918329178e-05,2.75816918329178e-08
"Jupiter","Himalia","0.45",85,"2.6","14.2R","0.04",11.46,1.146e+10,6.26633989716535e-06,6.26633989716535e-09
"Jupiter","Elara","0.058",43,"2.6","16.0R","0.04",11.7,1.17e+10,2.22649162524025e-06,2.22649162524025e-09
"Jupiter","Pasiphae","0.020",30,"2.6","16.8R","0.04",24.18,2.418e+10,9.09466799497334e-07,9.09466799497334e-10
"Jupiter","Sinope","0.0050",19,"2.6","18.2R","0.04",23.2,2.32e+10,4.6423834544263e-07,4.6423834544263e-10
"Jupiter","Lysithea","0.0042",18,"2.6","18.1R","0.04",11.66,1.166e+10,6.00171502075819e-07,6.00171502075819e-10
"Jupiter","Carme","0.0088",23,"2.6","18.1R","0.04",22.79,2.279e+10,6.21397030421301e-07,6.213970304213e-10
"Jupiter","Ananke","0.0020",14,"2.6","19.1R","0.04",21.3,2.13e+10,3.06425706517948e-07,3.06425706517948e-10
"Jupiter","Leda","0.00073",10,"2.6","19.2R","0.04",11.7,1.17e+10,2.49786233394001e-07,2.49786233394001e-10
"Jupiter","Thebe","0.10",49.3,"3.0","16.0","0.047±0.003",0.223,2.23e+08,2.11761774943813e-05,2.11761774943813e-08
"Jupiter","Adrastea","0.0005",8.2,"3.0","18.7","0.1±0.045",0.129,1.29e+08,1.96874807739539e-06,1.96874807739539e-09
"Jupiter","Metis","0.008",21.5,"3.0","17.5","0.061±0.003",0.128,1.28e+08,7.90569415042095e-06,7.90569415042095e-09
"Jupiter","Callirrhoe","0.000058",4.3,"2.6","20.8R","0.04",24.06,2.406e+10,4.90982694858018e-08,4.90982694858018e-11
"Jupiter","Themisto","0.000046",4,"2.6","21.0R","0.04",17.26,1.726e+10,5.16248164025589e-08,5.16248164025589e-11
"Jupiter","Megaclite","0.000014",2.7,"2.6","21.7R","0.04",24.96,2.496e+10,2.36832733357835e-08,2.36832733357835e-11
"Jupiter","Taygete","0.000011",2.5,"2.6","21.9R","0.04",23.74,2.374e+10,2.1525635663853e-08,2.1525635663853e-11
"Jupiter","Chaldene","0.000005",1.9,"2.6","22.5R","0.04",21.3,2.13e+10,1.53212853258974e-08,1.53212853258974e-11
"Jupiter","Harpalyke","0.000008",2.2,"2.6","22.2R","0.04",22.07,2.207e+10,1.90389865436417e-08,1.90389865436417e-11
"Jupiter","Kalyke","0.000013",2.6,"2.6","21.8R","0.04",22.69,2.269e+10,2.39361571890394e-08,2.39361571890394e-11
"Jupiter","Iocaste","0.000013",2.6,"2.6","21.8R","0.04",22.03,2.203e+10,2.42920646114467e-08,2.42920646114467e-11
"Jupiter","Erinome","0.000003",1.6,"2.6","22.8R","0.04",22.56,2.256e+10,1.15316401003611e-08,1.15316401003611e-11
"Jupiter","Isonoe","0.000005",1.9,"2.6","22.5R","0.04",23.46,2.346e+10,1.45989290618446e-08,1.45989290618446e-11
"Jupiter","Praxidike","0.000029",3.4,"2.6","21.2R","0.04",24.53,2.453e+10,3.43835112503505e-08,3.43835112503505e-11
"Jupiter","Autonoe","0.000006",2,"2.6","22.0R","0.04",26.03,2.603e+10,1.51823339926023e-08,1.51823339926023e-11
"Jupiter","Thyone","0.000006",2,"2.6","22.3R","0.04",26.45,2.645e+10,1.50613113701641e-08,1.50613113701641e-11
"Jupiter","Hermippe","0.000006",2,"2.6","22.1R","0.04",28.34,2.834e+10,1.45504257880645e-08,1.45504257880645e-11
"Jupiter","Aitne","0.000003",1.5,"2.6","22.7R","0.04",28.17,2.817e+10,1.03197031270506e-08,1.03197031270506e-11
"Jupiter","Eurydome","0.000003",1.5,"2.6","22.7R","0.04",28.3,2.83e+10,1.02959733458187e-08,1.02959733458187e-11
"Jupiter","Euanthe","0.000003",1.5,"2.6","22.8R","0.04",28.86,2.886e+10,1.01955923785773e-08,1.01955923785773e-11
"Jupiter","Euporie","0.000001",1,"2.6","23.1R","0.04",29.22,2.922e+10,5.85005425950489e-09,5.85005425950489e-12
"Jupiter","Orthosie","0.000001",1,"2.6","23.1R","0.04",29.96,2.996e+10,5.77735554697431e-09,5.77735554697431e-12
"Jupiter","Sponde","0.000001",1,"2.6","23.0R","0.04",31.85,3.185e+10,5.60331814680526e-09,5.60331814680526e-12
"Jupiter","Kale","0.000001",1,"2.6","23.0R","0.04",34.88,3.488e+10,5.35441171097649e-09,5.35441171097649e-12
"Jupiter","Pasithee","0.000001",1,"2.6","23.2R","0.04",39.24,3.924e+10,5.04818777346152e-09,5.04818777346152e-12
"Jupiter","Hegemone","0.000003",1.5,"2.6","22.8R","0.04",43.96,4.396e+10,8.2609840850092e-09,8.2609840850092e-12
"Jupiter","Mneme","0.000001",1,"2.6","23.3R","0.04",44.76,4.476e+10,4.7266665028089e-09,4.7266665028089e-12
"Jupiter","Aoede","0.000006",2,"2.6","22.5R","0.04",45.91,4.591e+10,1.14319937620962e-08,1.14319937620962e-11
"Jupiter","Thelxinoe","0.000001",1,"2.6","23.5R","0.04",48.74,4.874e+10,4.52957273196726e-09,4.52957273196726e-12
"Jupiter","Arche","0.000003",1.5,"2.6","22.8R","0.04",48.23,4.823e+10,7.8868212224192e-09,7.8868212224192e-12
"Jupiter","Kallichore","0.000001",1,"2.6","23.7R","0.04",48.79,4.879e+10,4.5272511835948e-09,4.5272511835948e-12
"Jupiter","Helike","0.000006",2,"2.6","22.6R","0.04",49.5,4.95e+10,1.10096376512636e-08,1.10096376512636e-11
"Jupiter","Carpo","0.000003",1.5,"2.6","23.0R","0.04",49.7,4.97e+10,7.76930968865506e-09,7.76930968865506e-12
"Jupiter","Eukelade","0.000006",2,"2.6","22.6R","0.04",50.01,5.001e+10,1.09533558692777e-08,1.09533558692777e-11
"Jupiter","Cyllene","0.000001",1,"2.6","23.2R","0.04",29.95,2.995e+10,5.77831996656988e-09,5.77831996656988e-12
"Jupiter","Kore","0.000001",1,"2.6","23.6R","0.04",29.68,2.968e+10,5.80454325265715e-09,5.80454325265715e-12
"Jupiter","Herse","0.000001",1,"2.6","23.4R","0.04",29.93,2.993e+10,5.78025025557196e-09,5.78025025557196e-12
"Jupiter","S/2000 J11","0.000001",1,"2.6","22.4R","0.04",30.1,3.01e+10,5.76390417704235e-09,5.76390417704235e-12
"Jupiter","S/2003 J2","0.000001",1,"2.6","23.2R","0.04",29.7,2.97e+10,5.80258853185659e-09,5.80258853185659e-12
"Jupiter","S/2003 J3","0.000001",1,"2.6","23.4R","0.04",29.6,2.96e+10,5.81238193719096e-09,5.81238193719096e-12
"Jupiter","S/2003 J4","0.000001",1,"2.6","23.0R","0.04",29.5,2.95e+10,5.82222509739582e-09,5.82222509739582e-12
"Jupiter","S/2003 J5","0.000006",2,"2.6","22.4R","0.04",29.4,2.94e+10,1.42857142857143e-08,1.42857142857143e-11
"Jupiter","S/2003 J9","0.0000001",0.5,"2.6","23.7R","0.04",29.3,2.93e+10,1.84742233484292e-09,1.84742233484292e-12
"Jupiter","S/2003 J10","0.000001",1,"2.6","23.6R","0.04",29.2,2.92e+10,5.85205735980653e-09,5.85205735980653e-12
"Jupiter","S/2003 J12","0.0000001",0.5,"2.6","23.9R","0.04",29.1,2.91e+10,1.85375999440016e-09,1.85375999440016e-12
"Jupiter","S/2003 J15","0.000001",1,"2.6","23.5R","0.04",28.9,2.89e+10,5.88235294117647e-09,5.88235294117647e-12
"Jupiter","S/2003 J16","0.000001",1,"2.6","23.3R","0.04",28.8,2.88e+10,5.8925565098879e-09,5.8925565098879e-12
"Jupiter","S/2003 J18","0.000001",1,"2.6","23.4R","0.04",28.6,2.86e+10,5.91312395989083e-09,5.91312395989083e-12
"Jupiter","S/2003 J19","0.000001",1,"2.6","23.7R","0.04",28.5,2.85e+10,5.92348877759092e-09,5.92348877759092e-12
"Jupiter","S/2003 J23","0.000001",1,"2.6","23.6R","0.04",28.4,2.84e+10,5.93390829096927e-09,5.93390829096927e-12
"Jupiter","S/2010 J1","0.000001",1,"2.6","23.2r","0.04",27.9,2.79e+10,5.9868434008925e-09,5.9868434008925e-12
"Jupiter","S/2010 J2","0.000001",1,"2.6","24.0r","0.04",27.8,2.78e+10,5.99760143904067e-09,5.99760143904067e-12
"Jupiter","S/2011 J1","0.000001",1,"2.6","23.7R","0.04",27.6,2.76e+10,6.01929265428846e-09,6.01929265428846e-12
"Jupiter","S/2011 J2","0.000001",1,"2.6","23.5R","0.04",27.5,2.75e+10,6.03022689155527e-09,6.03022689155527e-12
"Saturn","Mimas","2.5026±0.0006",198.2,"1.150±0.004","12.8","0.962±0.004",0.185,1.85e+08,0.000116308071807453,1.16308071807453e-07
"Saturn","Enceladus","7.2027±0.0125",252.1,"1.608±0.003","11.8","1.375±0.008",0.238,2.38e+08,0.000173963919759677,1.73963919759677e-07
"Saturn","Tethys","41.2067±0.0038",533,"0.973±0.004","10.2","1.229±0.005",0.294,2.94e+08,0.000374377942108526,3.74377942108526e-07
"Saturn","Dione","73.1146±0.0015",561.7,"1.476±0.004","10.4","0.998±0.004",0.377,3.77e+08,0.000440383845110697,4.40383845110697e-07
"Saturn","Rhea","153.9426±0.0037",764.3,"1.233±0.005","9.6","0.949±0.003",0.527,5.27e+08,0.000540473121853363,5.40473121853363e-07
